COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
SOLANO,2016,Age groups,65+ years,65+ years,238,36.8
SONOMA,2016,Age groups,65+ years,65+ years,161,17.9
STANISLAUS,2016,Age groups,65+ years,65+ years,155,22.6
SUTTER,2016,Age groups,65+ years,65+ years,21,14.8
TEHAMA,2016,Age groups,65+ years,65+ years,23,18.7
TRINITY,2016,Age groups,65+ years,65+ years,NA,NA
TULARE,2016,Age groups,65+ years,65+ years,95,18.3
TUOLUMNE,2016,Age groups,65+ years,65+ years,33,23.2
VENTURA,2016,Age groups,65+ years,65+ years,178,14.6
YOLO,2016,Age groups,65+ years,65+ years,52,20.7
YUBA,2016,Age groups,65+ years,65+ years,23,27.1
CALIFORNIA,2016,Race/ethnicity,White,All ages,45866,34.8
ALAMEDA,2016,Race/ethnicity,White,All ages,1438,28.8
ALPINE,2016,Race/ethnicity,White,All ages,NA,NA
AMADOR,2016,Race/ethnicity,White,All ages,146,62.7
BUTTE,2016,Race/ethnicity,White,All ages,571,41.3
CALAVERAS,2016,Race/ethnicity,White,All ages,151,50.5
COLUSA,2016,Race/ethnicity,White,All ages,33,42.4
CONTRA COSTA,2016,Race/ethnicity,White,All ages,1534,34
DEL NORTE,2016,Race/ethnicity,White,All ages,126,92.3
EL DORADO,2016,Race/ethnicity,White,All ages,355,30.1
FRESNO,2016,Race/ethnicity,White,All ages,1631,66.2
GLENN,2016,Race/ethnicity,White,All ages,48,33
HUMBOLDT,2016,Race/ethnicity,White,All ages,603,66.1
IMPERIAL,2016,Race/ethnicity,White,All ages,120,62.2
INYO,2016,Race/ethnicity,White,All ages,45,44.1
KERN,2016,Race/ethnicity,White,All ages,1432,49.8
KINGS,2016,Race/ethnicity,White,All ages,311,65.9
LAKE,2016,Race/ethnicity,White,All ages,351,82.5
LASSEN,2016,Race/ethnicity,White,All ages,92,50.8
LOS ANGELES,2016,Race/ethnicity,White,All ages,7663,32.3
MADERA,2016,Race/ethnicity,White,All ages,217,52.5
MARIN,2016,Race/ethnicity,White,All ages,303,19.3
MARIPOSA,2016,Race/ethnicity,White,All ages,53,45.7
MENDOCINO,2016,Race/ethnicity,White,All ages,275,58.4
MERCED,2016,Race/ethnicity,White,All ages,588,84.4
MODOC,2016,Race/ethnicity,White,All ages,44,81.9
MONO,2016,Race/ethnicity,White,All ages,19,30.8
MONTEREY,2016,Race/ethnicity,White,All ages,427,37.4
NAPA,2016,Race/ethnicity,White,All ages,230,35.6
NEVADA,2016,Race/ethnicity,White,All ages,237,37.3
ORANGE,2016,Race/ethnicity,White,All ages,3230,28.3
PLACER,2016,Race/ethnicity,White,All ages,699,28.9
PLUMAS,2016,Race/ethnicity,White,All ages,69,53.3
RIVERSIDE,2016,Race/ethnicity,White,All ages,2934,39.8
SACRAMENTO,2016,Race/ethnicity,White,All ages,2707,42.3
SAN BENITO,2016,Race/ethnicity,White,All ages,84,51
SAN BERNARDINO,2016,Race/ethnicity,White,All ages,2716,44.3
SAN DIEGO,2016,Race/ethnicity,White,All ages,2930,20.9
SAN FRANCISCO,2016,Race/ethnicity,White,All ages,751,23
SAN JOAQUIN,2016,Race/ethnicity,White,All ages,1014,46.4
SAN LUIS OBISPO,2016,Race/ethnicity,White,All ages,588,37.6
SAN MATEO,2016,Race/ethnicity,White,All ages,676,24.5
SANTA BARBARA,2016,Race/ethnicity,White,All ages,578,33.4
SANTA CLARA,2016,Race/ethnicity,White,All ages,1399,23.6
SANTA CRUZ,2016,Race/ethnicity,White,All ages,406,30.5
SHASTA,2016,Race/ethnicity,White,All ages,570,47.4
SIERRA,2016,Race/ethnicity,White,All ages,NA,NA
SISKIYOU,2016,Race/ethnicity,White,All ages,105,37.7
SOLANO,2016,Race/ethnicity,White,All ages,914,61
SONOMA,2016,Race/ethnicity,White,All ages,937,34.9
STANISLAUS,2016,Race/ethnicity,White,All ages,1024,49
SUTTER,2016,Race/ethnicity,White,All ages,155,37.3
TEHAMA,2016,Race/ethnicity,White,All ages,236,61.2
TRINITY,2016,Race/ethnicity,White,All ages,50,61.8
TULARE,2016,Race/ethnicity,White,All ages,320,26.7
TUOLUMNE,2016,Race/ethnicity,White,All ages,197,52.4
VENTURA,2016,Race/ethnicity,White,All ages,1045,32.6
YOLO,2016,Race/ethnicity,White,All ages,287,31.7
YUBA,2016,Race/ethnicity,White,All ages,180,44
CALIFORNIA,2016,Race/ethnicity,Black,All ages,36180,168.1
ALAMEDA,2016,Race/ethnicity,Black,All ages,3646,204
ALPINE,2016,Race/ethnicity,Black,All ages,0,0
AMADOR,2016,Race/ethnicity,Black,All ages,NA,NA
BUTTE,2016,Race/ethnicity,Black,All ages,66,201.3
CALAVERAS,2016,Race/ethnicity,Black,All ages,NA,NA
COLUSA,2016,Race/ethnicity,Black,All ages,0,0
CONTRA COSTA,2016,Race/ethnicity,Black,All ages,1982,206.2
DEL NORTE,2016,Race/ethnicity,Black,All ages,NA,NA
EL DORADO,2016,Race/ethnicity,Black,All ages,14,111.8
FRESNO,2016,Race/ethnicity,Black,All ages,721,146.4
GLENN,2016,Race/ethnicity,Black,All ages,NA,NA
HUMBOLDT,2016,Race/ethnicity,Black,All ages,70,456.3
IMPERIAL,2016,Race/ethnicity,Black,All ages,33,119.6
INYO,2016,Race/ethnicity,Black,All ages,NA,NA
KERN,2016,Race/ethnicity,Black,All ages,893,177.6
KINGS,2016,Race/ethnicity,Black,All ages,139,157.4
LAKE,2016,Race/ethnicity,Black,All ages,29,284.8
LASSEN,2016,Race/ethnicity,Black,All ages,NA,NA
LOS ANGELES,2016,Race/ethnicity,Black,All ages,12869,167
MADERA,2016,Race/ethnicity,Black,All ages,96,315.7
MARIN,2016,Race/ethnicity,Black,All ages,73,114.7
MARIPOSA,2016,Race/ethnicity,Black,All ages,NA,NA
MENDOCINO,2016,Race/ethnicity,Black,All ages,NA,NA
MERCED,2016,Race/ethnicity,Black,All ages,260,300
MODOC,2016,Race/ethnicity,Black,All ages,0,0
MONO,2016,Race/ethnicity,Black,All ages,0,0
MONTEREY,2016,Race/ethnicity,Black,All ages,124,127.2
NAPA,2016,Race/ethnicity,Black,All ages,22,103.3
NEVADA,2016,Race/ethnicity,Black,All ages,NA,NA
ORANGE,2016,Race/ethnicity,Black,All ages,565,123.4
PLACER,2016,Race/ethnicity,Black,All ages,61,152
PLUMAS,2016,Race/ethnicity,Black,All ages,13,560.9
RIVERSIDE,2016,Race/ethnicity,Black,All ages,1976,147.6
SACRAMENTO,2016,Race/ethnicity,Black,All ages,3178,214.6
SAN BENITO,2016,Race/ethnicity,Black,All ages,NA,NA
SAN BERNARDINO,2016,Race/ethnicity,Black,All ages,2556,141.2
SAN DIEGO,2016,Race/ethnicity,Black,All ages,1730,109.6
SAN FRANCISCO,2016,Race/ethnicity,Black,All ages,848,199.1
SAN JOAQUIN,2016,Race/ethnicity,Black,All ages,1178,226.9
SAN LUIS OBISPO,2016,Race/ethnicity,Black,All ages,39,89
SAN MATEO,2016,Race/ethnicity,Black,All ages,146,90.3
SANTA BARBARA,2016,Race/ethnicity,Black,All ages,95,139.6
SANTA CLARA,2016,Race/ethnicity,Black,All ages,556,121.9
SANTA CRUZ,2016,Race/ethnicity,Black,All ages,14,61.7
SHASTA,2016,Race/ethnicity,Black,All ages,33,193.8
SIERRA,2016,Race/ethnicity,Black,All ages,0,0
SISKIYOU,2016,Race/ethnicity,Black,All ages,NA,NA
SOLANO,2016,Race/ethnicity,Black,All ages,1298,228.1
SONOMA,2016,Race/ethnicity,Black,All ages,112,157.8
STANISLAUS,2016,Race/ethnicity,Black,All ages,331,236
SUTTER,2016,Race/ethnicity,Black,All ages,29,172.9
TEHAMA,2016,Race/ethnicity,Black,All ages,NA,NA
TRINITY,2016,Race/ethnicity,Black,All ages,0,0
TULARE,2016,Race/ethnicity,Black,All ages,85,165.8
TUOLUMNE,2016,Race/ethnicity,Black,All ages,NA,NA
VENTURA,2016,Race/ethnicity,Black,All ages,109,99.3
YOLO,2016,Race/ethnicity,Black,All ages,62,139.7
YUBA,2016,Race/ethnicity,Black,All ages,42,183.6
CALIFORNIA,2016,Race/ethnicity,Hispanic,All ages,73234,44.7
ALAMEDA,2016,Race/ethnicity,Hispanic,All ages,2187,54.3
ALPINE,2016,Race/ethnicity,Hispanic,All ages,0,0
AMADOR,2016,Race/ethnicity,Hispanic,All ages,28,65.2
BUTTE,2016,Race/ethnicity,Hispanic,All ages,83,24.5
CALAVERAS,2016,Race/ethnicity,Hispanic,All ages,NA,NA
COLUSA,2016,Race/ethnicity,Hispanic,All ages,33,24.6
CONTRA COSTA,2016,Race/ethnicity,Hispanic,All ages,1727,57.7
DEL NORTE,2016,Race/ethnicity,Hispanic,All ages,21,37.9
EL DORADO,2016,Race/ethnicity,Hispanic,All ages,72,28.5
FRESNO,2016,Race/ethnicity,Hispanic,All ages,4254,71.7
GLENN,2016,Race/ethnicity,Hispanic,All ages,44,38.4
HUMBOLDT,2016,Race/ethnicity,Hispanic,All ages,47,29.3
IMPERIAL,2016,Race/ethnicity,Hispanic,All ages,1103,66.9
INYO,2016,Race/ethnicity,Hispanic,All ages,25,55.9
KERN,2016,Race/ethnicity,Hispanic,All ages,2468,48.4
KINGS,2016,Race/ethnicity,Hispanic,All ages,540,60.9
LAKE,2016,Race/ethnicity,Hispanic,All ages,67,52.4
LASSEN,2016,Race/ethnicity,Hispanic,All ages,14,23.6
LOS ANGELES,2016,Race/ethnicity,Hispanic,All ages,25431,48.8
MADERA,2016,Race/ethnicity,Hispanic,All ages,629,60.4
MARIN,2016,Race/ethnicity,Hispanic,All ages,122,26.9
MARIPOSA,2016,Race/ethnicity,Hispanic,All ages,NA,NA
MENDOCINO,2016,Race/ethnicity,Hispanic,All ages,115,47.8
MERCED,2016,Race/ethnicity,Hispanic,All ages,1268,73.2
MODOC,2016,Race/ethnicity,Hispanic,All ages,NA,NA
MONO,2016,Race/ethnicity,Hispanic,All ages,11,NA
MONTEREY,2016,Race/ethnicity,Hispanic,All ages,1240,44.3
NAPA,2016,Race/ethnicity,Hispanic,All ages,156,30.8
NEVADA,2016,Race/ethnicity,Hispanic,All ages,20,22.1
ORANGE,2016,Race/ethnicity,Hispanic,All ages,3814,31.7
PLACER,2016,Race/ethnicity,Hispanic,All ages,121,23.5
PLUMAS,2016,Race/ethnicity,Hispanic,All ages,NA,NA
RIVERSIDE,2016,Race/ethnicity,Hispanic,All ages,4058,33.9
SACRAMENTO,2016,Race/ethnicity,Hispanic,All ages,1890,52.8
SAN BENITO,2016,Race/ethnicity,Hispanic,All ages,173,50.6
SAN BERNARDINO,2016,Race/ethnicity,Hispanic,All ages,5066,43
SAN DIEGO,2016,Race/ethnicity,Hispanic,All ages,3934,32.1
SAN FRANCISCO,2016,Race/ethnicity,Hispanic,All ages,684,52
SAN JOAQUIN,2016,Race/ethnicity,Hispanic,All ages,1534,47.7
SAN LUIS OBISPO,2016,Race/ethnicity,Hispanic,All ages,241,37.5
SAN MATEO,2016,Race/ethnicity,Hispanic,All ages,1016,51.6
SANTA BARBARA,2016,Race/ethnicity,Hispanic,All ages,903,40.1
SANTA CLARA,2016,Race/ethnicity,Hispanic,All ages,2444,44.6
SANTA CRUZ,2016,Race/ethnicity,Hispanic,All ages,399,38.1
SHASTA,2016,Race/ethnicity,Hispanic,All ages,54,29.3
SIERRA,2016,Race/ethnicity,Hispanic,All ages,NA,NA
SISKIYOU,2016,Race/ethnicity,Hispanic,All ages,NA,NA
SOLANO,2016,Race/ethnicity,Hispanic,All ages,659,55.2
SONOMA,2016,Race/ethnicity,Hispanic,All ages,498,35.2
STANISLAUS,2016,Race/ethnicity,Hispanic,All ages,1185,45.4
SUTTER,2016,Race/ethnicity,Hispanic,All ages,94,29.7
TEHAMA,2016,Race/ethnicity,Hispanic,All ages,74,42.6
TRINITY,2016,Race/ethnicity,Hispanic,All ages,NA,NA
TULARE,2016,Race/ethnicity,Hispanic,All ages,964,29.1
TUOLUMNE,2016,Race/ethnicity,Hispanic,All ages,17,28.3
VENTURA,2016,Race/ethnicity,Hispanic,All ages,1298,32.9
YOLO,2016,Race/ethnicity,Hispanic,All ages,317,47.4
YUBA,2016,Race/ethnicity,Hispanic,All ages,48,23.7
CALIFORNIA,2016,Race/ethnicity,Asian/PI,All ages,10306,21
ALAMEDA,2016,Race/ethnicity,Asian/PI,All ages,1112,27
ALPINE,2016,Race/ethnicity,Asian/PI,All ages,0,0
AMADOR,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
BUTTE,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
CALAVERAS,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
COLUSA,2016,Race/ethnicity,Asian/PI,All ages,0,0
CONTRA COSTA,2016,Race/ethnicity,Asian/PI,All ages,474,29.6
DEL NORTE,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
EL DORADO,2016,Race/ethnicity,Asian/PI,All ages,17,30.3
FRESNO,2016,Race/ethnicity,Asian/PI,All ages,214,23.2
GLENN,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
HUMBOLDT,2016,Race/ethnicity,Asian/PI,All ages,15,46.5
IMPERIAL,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
INYO,2016,Race/ethnicity,Asian/PI,All ages,0,0
KERN,2016,Race/ethnicity,Asian/PI,All ages,92,26.4
KINGS,2016,Race/ethnicity,Asian/PI,All ages,13,27.3
LAKE,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
LASSEN,2016,Race/ethnicity,Asian/PI,All ages,0,0
LOS ANGELES,2016,Race/ethnicity,Asian/PI,All ages,2633,21
MADERA,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
MARIN,2016,Race/ethnicity,Asian/PI,All ages,23,15.5
MARIPOSA,2016,Race/ethnicity,Asian/PI,All ages,0,0
MENDOCINO,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
MERCED,2016,Race/ethnicity,Asian/PI,All ages,51,26.9
MODOC,2016,Race/ethnicity,Asian/PI,All ages,0,0
MONO,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
MONTEREY,2016,Race/ethnicity,Asian/PI,All ages,82,37.2
NAPA,2016,Race/ethnicity,Asian/PI,All ages,21,22.2
NEVADA,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
ORANGE,2016,Race/ethnicity,Asian/PI,All ages,743,14.2
PLACER,2016,Race/ethnicity,Asian/PI,All ages,47,21
PLUMAS,2016,Race/ethnicity,Asian/PI,All ages,0,0
RIVERSIDE,2016,Race/ethnicity,Asian/PI,All ages,215,16.6
SACRAMENTO,2016,Race/ethnicity,Asian/PI,All ages,770,34.6
SAN BENITO,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
SAN BERNARDINO,2016,Race/ethnicity,Asian/PI,All ages,239,18.7
SAN DIEGO,2016,Race/ethnicity,Asian/PI,All ages,689,19.7
SAN FRANCISCO,2016,Race/ethnicity,Asian/PI,All ages,482,21.9
SAN JOAQUIN,2016,Race/ethnicity,Asian/PI,All ages,306,29.4
SAN LUIS OBISPO,2016,Race/ethnicity,Asian/PI,All ages,13,16.1
SAN MATEO,2016,Race/ethnicity,Asian/PI,All ages,414,21.5
SANTA BARBARA,2016,Race/ethnicity,Asian/PI,All ages,34,20.2
SANTA CLARA,2016,Race/ethnicity,Asian/PI,All ages,865,14.3
SANTA CRUZ,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
SHASTA,2016,Race/ethnicity,Asian/PI,All ages,20,44.7
SIERRA,2016,Race/ethnicity,Asian/PI,All ages,0,0
SISKIYOU,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
SOLANO,2016,Race/ethnicity,Asian/PI,All ages,325,52.2
SONOMA,2016,Race/ethnicity,Asian/PI,All ages,63,34.4
STANISLAUS,2016,Race/ethnicity,Asian/PI,All ages,82,27.6
SUTTER,2016,Race/ethnicity,Asian/PI,All ages,28,19
TEHAMA,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
TRINITY,2016,Race/ethnicity,Asian/PI,All ages,0,0
TULARE,2016,Race/ethnicity,Asian/PI,All ages,27,18.6
TUOLUMNE,2016,Race/ethnicity,Asian/PI,All ages,NA,NA
VENTURA,2016,Race/ethnicity,Asian/PI,All ages,74,12.9
YOLO,2016,Race/ethnicity,Asian/PI,All ages,50,19.7
YUBA,2016,Race/ethnicity,Asian/PI,All ages,16,35.2
CALIFORNIA,2016,Race/ethnicity,AI/AN,All ages,672,46.1
ALAMEDA,2016,Race/ethnicity,AI/AN,All ages,37,80.5
ALPINE,2016,Race/ethnicity,AI/AN,All ages,0,0
AMADOR,2016,Race/ethnicity,AI/AN,All ages,NA,NA
BUTTE,2016,Race/ethnicity,AI/AN,All ages,NA,NA
CALAVERAS,2016,Race/ethnicity,AI/AN,All ages,NA,NA
COLUSA,2016,Race/ethnicity,AI/AN,All ages,0,0
CONTRA COSTA,2016,Race/ethnicity,AI/AN,All ages,14,56.3
DEL NORTE,2016,Race/ethnicity,AI/AN,All ages,NA,NA
EL DORADO,2016,Race/ethnicity,AI/AN,All ages,NA,NA
FRESNO,2016,Race/ethnicity,AI/AN,All ages,12,22.1
GLENN,2016,Race/ethnicity,AI/AN,All ages,NA,NA
HUMBOLDT,2016,Race/ethnicity,AI/AN,All ages,32,46.2
IMPERIAL,2016,Race/ethnicity,AI/AN,All ages,NA,NA
INYO,2016,Race/ethnicity,AI/AN,All ages,17,108.3
KERN,2016,Race/ethnicity,AI/AN,All ages,NA,NA
KINGS,2016,Race/ethnicity,AI/AN,All ages,NA,NA
LAKE,2016,Race/ethnicity,AI/AN,All ages,14,83.1
LASSEN,2016,Race/ethnicity,AI/AN,All ages,NA,NA
LOS ANGELES,2016,Race/ethnicity,AI/AN,All ages,58,35.9
MADERA,2016,Race/ethnicity,AI/AN,All ages,0,0
MARIN,2016,Race/ethnicity,AI/AN,All ages,NA,NA
MARIPOSA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
MENDOCINO,2016,Race/ethnicity,AI/AN,All ages,26,80.4
MERCED,2016,Race/ethnicity,AI/AN,All ages,NA,NA
MODOC,2016,Race/ethnicity,AI/AN,All ages,NA,NA
MONO,2016,Race/ethnicity,AI/AN,All ages,NA,NA
MONTEREY,2016,Race/ethnicity,AI/AN,All ages,NA,NA
NAPA,2016,Race/ethnicity,AI/AN,All ages,0,0
NEVADA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
ORANGE,2016,Race/ethnicity,AI/AN,All ages,NA,NA
PLACER,2016,Race/ethnicity,AI/AN,All ages,NA,NA
PLUMAS,2016,Race/ethnicity,AI/AN,All ages,NA,NA
RIVERSIDE,2016,Race/ethnicity,AI/AN,All ages,33,36.5
SACRAMENTO,2016,Race/ethnicity,AI/AN,All ages,34,44.3
SAN BENITO,2016,Race/ethnicity,AI/AN,All ages,0,0
SAN BERNARDINO,2016,Race/ethnicity,AI/AN,All ages,143,199.4
SAN DIEGO,2016,Race/ethnicity,AI/AN,All ages,40,28.5
SAN FRANCISCO,2016,Race/ethnicity,AI/AN,All ages,38,263.9
SAN JOAQUIN,2016,Race/ethnicity,AI/AN,All ages,NA,NA
SAN LUIS OBISPO,2016,Race/ethnicity,AI/AN,All ages,0,0
SAN MATEO,2016,Race/ethnicity,AI/AN,All ages,11,NA
SANTA BARBARA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
SANTA CLARA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
SANTA CRUZ,2016,Race/ethnicity,AI/AN,All ages,0,0
SHASTA,2016,Race/ethnicity,AI/AN,All ages,11,NA
SIERRA,2016,Race/ethnicity,AI/AN,All ages,0,0
SISKIYOU,2016,Race/ethnicity,AI/AN,All ages,NA,NA
SOLANO,2016,Race/ethnicity,AI/AN,All ages,15,95.6
SONOMA,2016,Race/ethnicity,AI/AN,All ages,14,37.5
STANISLAUS,2016,Race/ethnicity,AI/AN,All ages,NA,NA
SUTTER,2016,Race/ethnicity,AI/AN,All ages,0,0
TEHAMA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
TRINITY,2016,Race/ethnicity,AI/AN,All ages,NA,NA
TULARE,2016,Race/ethnicity,AI/AN,All ages,11,NA
TUOLUMNE,2016,Race/ethnicity,AI/AN,All ages,NA,NA
VENTURA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
YOLO,2016,Race/ethnicity,AI/AN,All ages,NA,NA
YUBA,2016,Race/ethnicity,AI/AN,All ages,NA,NA
CALIFORNIA,2017,Total population,All ages,All ages,180053,46.9
ALAMEDA,2017,Total population,All ages,All ages,8942,56.3
ALPINE,2017,Total population,All ages,All ages,0,0
AMADOR,2017,Total population,All ages,All ages,176,56.8
BUTTE,2017,Total population,All ages,All ages,936,45.3
CALAVERAS,2017,Total population,All ages,All ages,198,55.1
COLUSA,2017,Total population,All ages,All ages,62,28.4
CONTRA COSTA,2017,Total population,All ages,All ages,6706,62.6
DEL NORTE,2017,Total population,All ages,All ages,150,61.2
EL DORADO,2017,Total population,All ages,All ages,650,40.5
FRESNO,2017,Total population,All ages,All ages,7783,75.4
GLENN,2017,Total population,All ages,All ages,129,45.6
HUMBOLDT,2017,Total population,All ages,All ages,851,67.1
IMPERIAL,2017,Total population,All ages,All ages,1291,65.7
INYO,2017,Total population,All ages,All ages,110,70.7
KERN,2017,Total population,All ages,All ages,4853,52.2
KINGS,2017,Total population,All ages,All ages,1074,67.9
LAKE,2017,Total population,All ages,All ages,482,80.1
LASSEN,2017,Total population,All ages,All ages,131,44
LOS ANGELES,2017,Total population,All ages,All ages,49504,50
MADERA,2017,Total population,All ages,All ages,979,61.7
MARIN,2017,Total population,All ages,All ages,564,23.5
MARIPOSA,2017,Total population,All ages,All ages,63,46.5
MENDOCINO,2017,Total population,All ages,All ages,567,70.9
MERCED,2017,Total population,All ages,All ages,2067,73.9
MODOC,2017,Total population,All ages,All ages,77,106
MONO,2017,Total population,All ages,All ages,40,32
MONTEREY,2017,Total population,All ages,All ages,1916,43.1
NAPA,2017,Total population,All ages,All ages,537,40.2
NEVADA,2017,Total population,All ages,All ages,306,38.5
ORANGE,2017,Total population,All ages,All ages,9084,29.7
PLACER,2017,Total population,All ages,All ages,1193,34.7
PLUMAS,2017,Total population,All ages,All ages,86,63.2
RIVERSIDE,2017,Total population,All ages,All ages,10076,43.2
SACRAMENTO,2017,Total population,All ages,All ages,10129,68.6
SAN BENITO,2017,Total population,All ages,All ages,340,61.2
SAN BERNARDINO,2017,Total population,All ages,All ages,11204,51.4
SAN DIEGO,2017,Total population,All ages,All ages,10339,31.7
SAN FRANCISCO,2017,Total population,All ages,All ages,3247,41.7
SAN JOAQUIN,2017,Total population,All ages,All ages,4881,65.9
SAN LUIS OBISPO,2017,Total population,All ages,All ages,800,33.3
SAN MATEO,2017,Total population,All ages,All ages,2346,31.8
SANTA BARBARA,2017,Total population,All ages,All ages,1471,33.5
SANTA CLARA,2017,Total population,All ages,All ages,5865,30.7
SANTA CRUZ,2017,Total population,All ages,All ages,772,29.8
SHASTA,2017,Total population,All ages,All ages,722,45.3
SIERRA,2017,Total population,All ages,All ages,NA,NA
SISKIYOU,2017,Total population,All ages,All ages,159,42.1
SOLANO,2017,Total population,All ages,All ages,3850,91.7
SONOMA,2017,Total population,All ages,All ages,1938,41.6
STANISLAUS,2017,Total population,All ages,All ages,3077,56.6
SUTTER,2017,Total population,All ages,All ages,301,31.7
TEHAMA,2017,Total population,All ages,All ages,350,59.7
TRINITY,2017,Total population,All ages,All ages,55,50.1
TULARE,2017,Total population,All ages,All ages,2134,43.4
TUOLUMNE,2017,Total population,All ages,All ages,244,53.6
VENTURA,2017,Total population,All ages,All ages,2836,34.8
YOLO,2017,Total population,All ages,All ages,894,43.3
YUBA,2017,Total population,All ages,All ages,366,47.9
CALIFORNIA,2017,Child vs. adult,0–17 years,0–17 years,68787,74.5
ALAMEDA,2017,Child vs. adult,0–17 years,0–17 years,3179,90.7
ALPINE,2017,Child vs. adult,0–17 years,0–17 years,0,0
AMADOR,2017,Child vs. adult,0–17 years,0–17 years,38,71.2
BUTTE,2017,Child vs. adult,0–17 years,0–17 years,226,49.4
CALAVERAS,2017,Child vs. adult,0–17 years,0–17 years,50,70.3
COLUSA,2017,Child vs. adult,0–17 years,0–17 years,37,61.9
CONTRA COSTA,2017,Child vs. adult,0–17 years,0–17 years,2204,89.4
DEL NORTE,2017,Child vs. adult,0–17 years,0–17 years,52,88.7
EL DORADO,2017,Child vs. adult,0–17 years,0–17 years,163,46.9
FRESNO,2017,Child vs. adult,0–17 years,0–17 years,4371,153.9
GLENN,2017,Child vs. adult,0–17 years,0–17 years,27,36.2
HUMBOLDT,2017,Child vs. adult,0–17 years,0–17 years,173,61.7
IMPERIAL,2017,Child vs. adult,0–17 years,0–17 years,691,126.8
INYO,2017,Child vs. adult,0–17 years,0–17 years,32,78.4
KERN,2017,Child vs. adult,0–17 years,0–17 years,2219,86.4
KINGS,2017,Child vs. adult,0–17 years,0–17 years,506,109.7
LAKE,2017,Child vs. adult,0–17 years,0–17 years,112,82.2
LASSEN,2017,Child vs. adult,0–17 years,0–17 years,35,63.7
LOS ANGELES,2017,Child vs. adult,0–17 years,0–17 years,19061,82.5
MADERA,2017,Child vs. adult,0–17 years,0–17 years,562,132.6
MARIN,2017,Child vs. adult,0–17 years,0–17 years,165,32.7
MARIPOSA,2017,Child vs. adult,0–17 years,0–17 years,14,50.9
MENDOCINO,2017,Child vs. adult,0–17 years,0–17 years,192,100
MERCED,2017,Child vs. adult,0–17 years,0–17 years,894,112.3
MODOC,2017,Child vs. adult,0–17 years,0–17 years,19,105.3
MONO,2017,Child vs. adult,0–17 years,0–17 years,NA,NA
MONTEREY,2017,Child vs. adult,0–17 years,0–17 years,747,64.3
NAPA,2017,Child vs. adult,0–17 years,0–17 years,152,52.5
NEVADA,2017,Child vs. adult,0–17 years,0–17 years,80,50.3
ORANGE,2017,Child vs. adult,0–17 years,0–17 years,3828,53.1
PLACER,2017,Child vs. adult,0–17 years,0–17 years,372,50.1
PLUMAS,2017,Child vs. adult,0–17 years,0–17 years,29,96.8
RIVERSIDE,2017,Child vs. adult,0–17 years,0–17 years,3931,66.1
SACRAMENTO,2017,Child vs. adult,0–17 years,0–17 years,3169,87.6
SAN BENITO,2017,Child vs. adult,0–17 years,0–17 years,138,97.2
SAN BERNARDINO,2017,Child vs. adult,0–17 years,0–17 years,4519,78.2
SAN DIEGO,2017,Child vs. adult,0–17 years,0–17 years,4291,52.9
SAN FRANCISCO,2017,Child vs. adult,0–17 years,0–17 years,1049,75.3
SAN JOAQUIN,2017,Child vs. adult,0–17 years,0–17 years,1692,85.3
SAN LUIS OBISPO,2017,Child vs. adult,0–17 years,0–17 years,270,53.7
SAN MATEO,2017,Child vs. adult,0–17 years,0–17 years,752,46.1
SANTA BARBARA,2017,Child vs. adult,0–17 years,0–17 years,574,55.9
SANTA CLARA,2017,Child vs. adult,0–17 years,0–17 years,1834,40.8
SANTA CRUZ,2017,Child vs. adult,0–17 years,0–17 years,290,48.3
SHASTA,2017,Child vs. adult,0–17 years,0–17 years,229,61.2
SIERRA,2017,Child vs. adult,0–17 years,0–17 years,0,0
SISKIYOU,2017,Child vs. adult,0–17 years,0–17 years,45,52.5
SOLANO,2017,Child vs. adult,0–17 years,0–17 years,1199,120.6
SONOMA,2017,Child vs. adult,0–17 years,0–17 years,561,58
STANISLAUS,2017,Child vs. adult,0–17 years,0–17 years,1121,77.1
SUTTER,2017,Child vs. adult,0–17 years,0–17 years,118,47.5
TEHAMA,2017,Child vs. adult,0–17 years,0–17 years,139,91.1
TRINITY,2017,Child vs. adult,0–17 years,0–17 years,NA,NA
